[2026-06-20T19:25:50.935565] Company: ABB, Year: 2012-12, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:50.955563] Company: ABB, Year: 2014-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:50.980805] Company: ABB, Year: 2015-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:51.164874] Company: ADANIENSOL, Year: 2014-03, Metric: npm, Issue: Division by zero (sales=0)
[2026-06-20T19:25:51.165869] Company: ADANIENSOL, Year: 2014-03, Metric: opm, Issue: Division by zero (sales=0)
[2026-06-20T19:25:51.166773] Company: ADANIENSOL, Year: 2014-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:51.167829] Company: ADANIENSOL, Year: 2014-03, Metric: asset_turnover, Issue: Division by zero (total_assets=0)
[2026-06-20T19:26:01.013376] Company: INDIGO, Year: 2020-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=46.0, end=-6.0)
[2026-06-20T19:26:01.016376] Company: INDIGO, Year: 2020-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=42481.0, end=-6.0)
[2026-06-20T19:26:01.029908] Company: INDIGO, Year: 2021-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=2242, end=-6171)
[2026-06-20T19:26:01.031908] Company: INDIGO, Year: 2021-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=1986, end=-6171)
[2026-06-20T19:26:01.035907] Company: INDIGO, Year: 2021-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=58.0, end=-151.0)
[2026-06-20T19:26:01.037941] Company: INDIGO, Year: 2021-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=55.0, end=-151.0)
[2026-06-20T19:26:01.050964] Company: INDIGO, Year: 2022-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=156, end=-317)
[2026-06-20T19:26:01.053957] Company: INDIGO, Year: 2022-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=1659, end=-317)
[2026-06-20T19:26:01.057958] Company: INDIGO, Year: 2022-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=4.0, end=-160.0)
[2026-06-20T19:26:01.060953] Company: INDIGO, Year: 2022-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=46.0, end=-160.0)
[2026-06-20T19:26:01.076065] Company: INDIGO, Year: 2023-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-248, end=-317)
[2026-06-20T19:26:01.078617] Company: INDIGO, Year: 2023-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=2242, end=-317)
[2026-06-20T19:26:01.081605] Company: INDIGO, Year: 2023-03, Metric: net_profit_cagr_10yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=787, end=-317)
[2026-06-20T19:26:01.085264] Company: INDIGO, Year: 2023-03, Metric: eps_cagr_3yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-6.0, end=-8.0)
[2026-06-20T19:26:01.094384] Company: INDIGO, Year: 2023-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=58.0, end=-8.0)
[2026-06-20T19:26:01.098396] Company: INDIGO, Year: 2023-03, Metric: eps_cagr_10yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=25647.0, end=-8.0)
[2026-06-20T19:26:01.110390] Company: INDIGO, Year: 2024-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-6171, end=8167)
[2026-06-20T19:26:01.117405] Company: INDIGO, Year: 2024-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-151.0, end=212.0)
[2026-06-20T19:26:01.394152] Company: INFY, Year: 2016-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:26:01.413163] Company: INFY, Year: 2017-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:26:01.431560] Company: INFY, Year: 2018-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:26:01.448561] Company: INFY, Year: 2019-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:26:01.695945] Company: IOC, Year: 2020-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=20385, end=-1876)
[2026-06-20T19:26:01.697944] Company: IOC, Year: 2020-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=4872, end=-1876)
[2026-06-20T19:26:01.701941] Company: IOC, Year: 2020-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=14.0, end=-1.0)
[2026-06-20T19:26:01.703940] Company: IOC, Year: 2020-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=3.0, end=-1.0)
[2026-06-20T19:26:01.750344] Company: IOC, Year: 2023-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-1876, end=11704)
[2026-06-20T19:26:01.755333] Company: IOC, Year: 2023-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-1.0, end=7.0)
[2026-06-20T19:26:01.800788] Company: IRCTC, Year: 2015-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:26:01.817888] Company: IRCTC, Year: 2016-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:26:02.465969] Company: JINDALSTEL, Year: 2016-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=2952, end=-3087)
[2026-06-20T19:26:02.471969] Company: JINDALSTEL, Year: 2016-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=31.0, end=-32.0)
[2026-06-20T19:26:02.484507] Company: JINDALSTEL, Year: 2017-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=1896, end=-2538)
[2026-06-20T19:26:02.489506] Company: JINDALSTEL, Year: 2017-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=21.0, end=-25.0)
[2026-06-20T19:26:02.502119] Company: JINDALSTEL, Year: 2018-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-1452, end=-1616)
[2026-06-20T19:26:02.504117] Company: JINDALSTEL, Year: 2018-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=2952, end=-1616)
[2026-06-20T19:26:02.509024] Company: JINDALSTEL, Year: 2018-03, Metric: eps_cagr_3yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-14.0, end=-15.0)
[2026-06-20T19:26:02.511058] Company: JINDALSTEL, Year: 2018-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=31.0, end=-15.0)
[2026-06-20T19:26:02.522061] Company: JINDALSTEL, Year: 2019-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-3087, end=-2412)
[2026-06-20T19:26:02.526066] Company: JINDALSTEL, Year: 2019-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=1896, end=-2412)
[2026-06-20T19:26:02.529601] Company: JINDALSTEL, Year: 2019-03, Metric: eps_cagr_3yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-32.0, end=-17.0)
[2026-06-20T19:26:02.531590] Company: JINDALSTEL, Year: 2019-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=21.0, end=-17.0)
[2026-06-20T19:26:02.544499] Company: JINDALSTEL, Year: 2020-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-2538, end=-400)
[2026-06-20T19:26:02.547492] Company: JINDALSTEL, Year: 2020-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-1452, end=-400)
[2026-06-20T19:26:02.551489] Company: JINDALSTEL, Year: 2020-03, Metric: eps_cagr_3yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-25.0, end=-1.0)
[2026-06-20T19:26:02.554493] Company: JINDALSTEL, Year: 2020-03, Metric: eps_cagr_5yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-14.0, end=-1.0)
[2026-06-20T19:26:02.568592] Company: JINDALSTEL, Year: 2021-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-1616, end=4267)
[2026-06-20T19:26:02.571593] Company: JINDALSTEL, Year: 2021-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-3087, end=4267)
[2026-06-20T19:26:02.577692] Company: JINDALSTEL, Year: 2021-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-15.0, end=36.0)
[2026-06-20T19:26:02.580439] Company: JINDALSTEL, Year: 2021-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-32.0, end=36.0)
[2026-06-20T19:26:02.595034] Company: JINDALSTEL, Year: 2022-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-2412, end=6766)
[2026-06-20T19:26:02.598035] Company: JINDALSTEL, Year: 2022-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-2538, end=6766)
[2026-06-20T19:26:02.602042] Company: JINDALSTEL, Year: 2022-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-17.0, end=56.0)
[2026-06-20T19:26:02.605032] Company: JINDALSTEL, Year: 2022-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-25.0, end=56.0)
[2026-06-20T19:26:02.618142] Company: JINDALSTEL, Year: 2023-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-400, end=3974)
[2026-06-20T19:26:02.621108] Company: JINDALSTEL, Year: 2023-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-1616, end=3974)
[2026-06-20T19:26:02.626126] Company: JINDALSTEL, Year: 2023-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-1.0, end=31.0)
[2026-06-20T19:26:02.628754] Company: JINDALSTEL, Year: 2023-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-15.0, end=31.0)
[2026-06-20T19:26:02.643521] Company: JINDALSTEL, Year: 2024-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-2412, end=5943)
[2026-06-20T19:26:02.650523] Company: JINDALSTEL, Year: 2024-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-17.0, end=58.0)
[2026-06-20T19:26:02.672729] Company: JIOFIN, Year: 2023-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:26:02.807618] Company: JSWENERGY, Year: 2018-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=8.0, end=0.0)
[2026-06-20T19:26:02.811277] Company: JSWENERGY, Year: 2018-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=6.0, end=0.0)
[2026-06-20T19:26:02.866933] Company: JSWENERGY, Year: 2021-03, Metric: eps_cagr_3yr, Issue: CAGR flag: ZERO_BASE (start=0.0, end=5.0)
[2026-06-20T19:26:02.900736] Company: JSWENERGY, Year: 2023-03, Metric: eps_cagr_5yr, Issue: CAGR flag: ZERO_BASE (start=0.0, end=9.0)
[2026-06-20T19:26:02.993050] Company: JSWSTEEL, Year: 2016-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=929, end=-481)
[2026-06-20T19:26:02.999050] Company: JSWSTEEL, Year: 2016-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=4.0, end=-1.0)
[2026-06-20T19:26:03.047318] Company: JSWSTEEL, Year: 2019-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-481, end=7524)
[2026-06-20T19:26:03.053227] Company: JSWSTEEL, Year: 2019-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-1.0, end=32.0)
[2026-06-20T19:26:03.087988] Company: JSWSTEEL, Year: 2021-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-481, end=7873)
[2026-06-20T19:26:03.095321] Company: JSWSTEEL, Year: 2021-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-1.0, end=33.0)
[2026-06-20T19:26:03.364960] Company: LICI, Year: 2019-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:26:03.381050] Company: LICI, Year: 2020-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:26:03.395671] Company: LICI, Year: 2021-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:26:03.410662] Company: LICI, Year: 2022-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:26:04.144921] Company: M&M, Year: 2020-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=4051, end=-321)
[2026-06-20T19:26:04.147923] Company: M&M, Year: 2020-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=3381, end=-321)
[2026-06-20T19:26:04.185671] Company: M&M, Year: 2023-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-321, end=11374)
[2026-06-20T19:26:04.615697] Company: NAUKRI, Year: 2017-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=60, end=-43)
[2026-06-20T19:26:04.619793] Company: NAUKRI, Year: 2017-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=8.0, end=-2.0)
[2026-06-20T19:26:04.631227] Company: NAUKRI, Year: 2018-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-14, end=501)
[2026-06-20T19:26:04.657136] Company: NAUKRI, Year: 2020-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-43, end=-246)
[2026-06-20T19:26:04.659038] Company: NAUKRI, Year: 2020-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-14, end=-246)
[2026-06-20T19:26:04.662039] Company: NAUKRI, Year: 2020-03, Metric: eps_cagr_3yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-2.0, end=-19.0)
[2026-06-20T19:26:04.664053] Company: NAUKRI, Year: 2020-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=2.0, end=-19.0)
[2026-06-20T19:26:04.687900] Company: NAUKRI, Year: 2022-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-43, end=12882)
[2026-06-20T19:26:04.692807] Company: NAUKRI, Year: 2022-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-2.0, end=991.0)
[2026-06-20T19:26:04.702478] Company: NAUKRI, Year: 2023-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-246, end=-70)
[2026-06-20T19:26:04.704468] Company: NAUKRI, Year: 2023-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=501, end=-70)
[2026-06-20T19:26:04.706383] Company: NAUKRI, Year: 2023-03, Metric: net_profit_cagr_10yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=76, end=-70)
[2026-06-20T19:26:04.708383] Company: NAUKRI, Year: 2023-03, Metric: eps_cagr_3yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-19.0, end=-8.0)
[2026-06-20T19:26:04.710383] Company: NAUKRI, Year: 2023-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=42.0, end=-8.0)
[2026-06-20T19:26:04.713413] Company: NAUKRI, Year: 2023-03, Metric: eps_cagr_10yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=8.0, end=-8.0)
[2026-06-20T19:26:05.827425] Company: PNB, Year: 2016-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=5020, end=-3510)
[2026-06-20T19:26:05.831775] Company: PNB, Year: 2016-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=28.0, end=-19.0)
[2026-06-20T19:26:05.856925] Company: PNB, Year: 2018-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=3525, end=-12111)
[2026-06-20T19:26:05.858926] Company: PNB, Year: 2018-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=5020, end=-12111)
[2026-06-20T19:26:05.862014] Company: PNB, Year: 2018-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=18.0, end=-44.0)
[2026-06-20T19:26:05.864023] Company: PNB, Year: 2018-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=28.0, end=-44.0)
[2026-06-20T19:26:05.875029] Company: PNB, Year: 2019-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-3510, end=-9550)
[2026-06-20T19:26:05.877542] Company: PNB, Year: 2019-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=3674, end=-9550)
[2026-06-20T19:26:05.880359] Company: PNB, Year: 2019-03, Metric: eps_cagr_3yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-19.0, end=-21.0)
[2026-06-20T19:26:05.883460] Company: PNB, Year: 2019-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=20.0, end=-21.0)
[2026-06-20T19:26:05.906186] Company: PNB, Year: 2021-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-12111, end=2695)
[2026-06-20T19:26:05.908093] Company: PNB, Year: 2021-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-3510, end=2695)
[2026-06-20T19:26:05.912181] Company: PNB, Year: 2021-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-44.0, end=2.0)
[2026-06-20T19:26:05.915197] Company: PNB, Year: 2021-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-19.0, end=2.0)
[2026-06-20T19:26:05.926194] Company: PNB, Year: 2022-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-9550, end=3908)
[2026-06-20T19:26:05.931815] Company: PNB, Year: 2022-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-21.0, end=4.0)
[2026-06-20T19:26:05.945735] Company: PNB, Year: 2023-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-12111, end=3359)
[2026-06-20T19:26:05.950735] Company: PNB, Year: 2023-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-44.0, end=3.0)
[2026-06-20T19:26:05.962833] Company: PNB, Year: 2024-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-9550, end=9157)
[2026-06-20T19:26:05.967833] Company: PNB, Year: 2024-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-21.0, end=8.0)
[2026-06-20T19:26:06.569562] Company: SBILIFE, Year: 2020-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:26:06.585606] Company: SBILIFE, Year: 2021-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:26:06.603027] Company: SBILIFE, Year: 2022-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:26:06.715297] Company: SBIN, Year: 2017-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=14807, end=-97)
[2026-06-20T19:26:06.719390] Company: SBIN, Year: 2017-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=19.0, end=0.0)
[2026-06-20T19:26:06.730025] Company: SBIN, Year: 2018-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=17832, end=-3749)
[2026-06-20T19:26:06.732028] Company: SBIN, Year: 2018-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=18555, end=-3749)
[2026-06-20T19:26:06.735021] Company: SBIN, Year: 2018-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=23.0, end=-5.0)
[2026-06-20T19:26:06.737209] Company: SBIN, Year: 2018-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=26.0, end=-5.0)
[2026-06-20T19:26:06.762163] Company: SBIN, Year: 2020-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-97, end=21140)
[2026-06-20T19:26:06.767177] Company: SBIN, Year: 2020-03, Metric: eps_cagr_3yr, Issue: CAGR flag: ZERO_BASE (start=0.0, end=22.0)
[2026-06-20T19:26:06.777691] Company: SBIN, Year: 2021-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-3749, end=23888)
[2026-06-20T19:26:06.782177] Company: SBIN, Year: 2021-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-5.0, end=25.0)
[2026-06-20T19:26:06.793912] Company: SBIN, Year: 2022-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-97, end=37183)
[2026-06-20T19:26:06.798449] Company: SBIN, Year: 2022-03, Metric: eps_cagr_5yr, Issue: CAGR flag: ZERO_BASE (start=0.0, end=40.0)
[2026-06-20T19:26:06.809466] Company: SBIN, Year: 2023-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-3749, end=57750)
[2026-06-20T19:26:06.814504] Company: SBIN, Year: 2023-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-5.0, end=62.0)
[2026-06-20T19:26:07.547577] Company: TATACONSUM, Year: 2016-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=445, end=-37)
[2026-06-20T19:26:07.552575] Company: TATACONSUM, Year: 2016-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=6.0, end=0.0)
[2026-06-20T19:26:07.595228] Company: TATACONSUM, Year: 2019-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-37, end=457)
[2026-06-20T19:26:07.599943] Company: TATACONSUM, Year: 2019-03, Metric: eps_cagr_3yr, Issue: CAGR flag: ZERO_BASE (start=0.0, end=6.0)
[2026-06-20T19:26:07.627171] Company: TATACONSUM, Year: 2021-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-37, end=930)
[2026-06-20T19:26:07.631808] Company: TATACONSUM, Year: 2021-03, Metric: eps_cagr_5yr, Issue: CAGR flag: ZERO_BASE (start=0.0, end=9.0)
[2026-06-20T19:26:07.769835] Company: TATAMOTORS, Year: 2019-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=11678, end=-28724)
[2026-06-20T19:26:07.772730] Company: TATAMOTORS, Year: 2019-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=14050, end=-28724)
[2026-06-20T19:26:07.775824] Company: TATAMOTORS, Year: 2019-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=40.0, end=-100.0)
[2026-06-20T19:26:07.778447] Company: TATAMOTORS, Year: 2019-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=48.0, end=-100.0)
[2026-06-20T19:26:07.788222] Company: TATAMOTORS, Year: 2020-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=7557, end=-11975)
[2026-06-20T19:26:07.790225] Company: TATAMOTORS, Year: 2020-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=14073, end=-11975)
[2026-06-20T19:26:07.794224] Company: TATAMOTORS, Year: 2020-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=26.0, end=-39.0)
[2026-06-20T19:26:07.796224] Company: TATAMOTORS, Year: 2020-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=48.0, end=-39.0)
[2026-06-20T19:26:07.805753] Company: TATAMOTORS, Year: 2021-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=9091, end=-13395)
[2026-06-20T19:26:07.808752] Company: TATAMOTORS, Year: 2021-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=11678, end=-13395)
[2026-06-20T19:26:07.811752] Company: TATAMOTORS, Year: 2021-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=31.0, end=-41.0)
[2026-06-20T19:26:07.813767] Company: TATAMOTORS, Year: 2021-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=40.0, end=-41.0)
[2026-06-20T19:26:07.823930] Company: TATAMOTORS, Year: 2022-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-28724, end=-11309)
[2026-06-20T19:26:07.825940] Company: TATAMOTORS, Year: 2022-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=7557, end=-11309)
[2026-06-20T19:26:07.829471] Company: TATAMOTORS, Year: 2022-03, Metric: eps_cagr_3yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-100.0, end=-34.0)
[2026-06-20T19:26:07.831467] Company: TATAMOTORS, Year: 2022-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=26.0, end=-34.0)
[2026-06-20T19:26:07.842134] Company: TATAMOTORS, Year: 2023-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-11975, end=2690)
[2026-06-20T19:26:07.846142] Company: TATAMOTORS, Year: 2023-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-39.0, end=7.0)
[2026-06-20T19:26:07.857147] Company: TATAMOTORS, Year: 2024-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-13395, end=31807)
[2026-06-20T19:26:07.859149] Company: TATAMOTORS, Year: 2024-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-28724, end=31807)
[2026-06-20T19:26:07.862141] Company: TATAMOTORS, Year: 2024-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-41.0, end=94.0)
[2026-06-20T19:26:07.864155] Company: TATAMOTORS, Year: 2024-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-100.0, end=94.0)
[2026-06-20T19:26:07.926584] Company: TATAPOWER, Year: 2016-03, Metric: eps_cagr_3yr, Issue: CAGR flag: ZERO_BASE (start=0.0, end=2.0)
